Who,What,When,when_yyyy_mm,Field,Area,Where,How (profit N-F),NR,Opacity,How (check character),How (year),How (policy),Why,EZID,Contact (surname),Contact (firstname),Contact (current only),Provider (surname),Provider (firstname),Provider (email),Address (postal),Address (location),Address (map),Latitude,Longitude,Postcode,Country
Archives départementales du Loiret,20522,2017-10-30,2017-10-01,archives,departemental,https://www.archives-loiret.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2017,,ARK,False,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"Cité Administrative Coligny, 131 rue du faubourg Bannier, 45000 ORLEANS, France","6 Rue d'Illiers, 45000, Orléans, France","6 Rue d'Illiers, 45000, Orléans, France",47.9026013,1.9016731,45000,France
Tunisian National Library,68743,2017-10-31,2017-10-01,library,,https://www.bnt.nat.tn/uhtbin/cgisirsi.exe/yGAu48OYEv/BNT/168980018/60/502/X,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2017,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"1008 Boulevard du 9 Avril 1938, Tunis, Tunisia","1008 Boulevard du 9 Avril 1938, Tunis, Tunisia","1008 Boulevard du 9 Avril 1938, Tunis, Tunisia",36.7893093,10.165588,,Tunisia
Fédération departementale des Musées d'Agriculture et du Patrimoine Rural en Loire-Atlantique,55747,2017-11-20,2017-11-01,museum,departemental,https://www.patrimoinerural44.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2017,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"81 rue Anne de Bretagne, 44360, Vigneux-de-Bretagne, France","81 rue Anne de Bretagne, 44360, Vigneux-de-Bretagne, France","81 rue Anne de Bretagne, 44360, Vigneux-de-Bretagne, France",47.328533,-1.6977037,44360,France
Zapruder World,86074,2017-11-29,2017-11-01,archives,,https://www.zapruderworld.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2017,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"Santa Barbara, California 93106, USA","Santa Barbara, California 93106, USA","Santa Barbara, California 93106, USA",34.4221319,-119.7026673,,USA
Centre National d'Enseignement à Distance,42752,2017-12-06,2017-12-01,education,,https://cned.fr,True,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2017,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"CNED - Direction Générale, BP 80300, 86963 Futuroscope Chasseneuil Cedex, France","Téléport 4 - site du Futuroscope, 2 boulevard Léonard-de-Vinci, 86360, Chasseneuil-du-Poitou, France","2 boulevard Léonard-de-Vinci, 86360, Chasseneuil-du-Poitou, France",46.6682949,0.3631571,86360,France
Bibliothèque municipale de Périgueux,30098,2017-12-15,2017-12-01,library,municipal,https://www.perigueux.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2017,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"23 rue du Président-Wilson BP 20130 24005 Périgueux cedex, France","12 avenue Georges Pompidou, 24000, Périgueux, France","12 avenue Georges Pompidou, 24000, Périgueux, France",45.1873325,0.72172,24000,France
Université Côte d'Azur,17103,2017-12-22,2017-12-01,university,,https://www.univ-cotedazur.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2017,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Université Nice Sophia Antipolis, 06101 Nice Cedex 2, France","24 av Diables Bleus, 06000, Nice, France","24 avenue des Diables Bleus, 06000, Nice, France",43.7079515,7.2843217,6000,France
Bibliothèque Municipale à Vocation Régionale de Nice,78320,2017-12-22,2017-12-01,library,municipal,https://www.bmvr.nice.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2017,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"1 avenue Saint Jean Baptiste, 06364 Nice Cedex 4, France","2 Place Yves Klein, 06300, Nice, France","2 Place Yves Klein, 06300, Nice, France",43.701493,7.2783727,6300,France
"Japan Association for Language Teaching, Critical Thinking Special Interest Group",65324,2017-12-27,2017-12-01,research,,http://www.jaltcriticalthinking.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2017,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Urban Edge Bldg 5F, 1-37-9 Taito, Taito-ku, Tokyo 110-0016, Japan","Taito-ku, Tokyo 110-0016, Japan","Taito-ku, Tokyo 110-0016, Japan",35.71745,139.790859,,Japan
Archives départementales du Calvados,52329,2018-01-11,2018-01-01,archives,departemental,https://archives.calvados.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"61 rue de Lion-sur-Mer, 14000 Caen, France","61 rue de Lion-sur-Mer, 14000, Caen, France","61 rue de Lion-sur-Mer, 14000, Caen, France",49.2019525,-0.355067444993364,14000,France
Établissement de Communication et de Production Audiovisuelle de la Défense,39674,2018-01-15,2018-01-01,archives,national,https://ecpad.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"2/8 Route du Fort, 94205, Ivry-sur-Seine, France","2/8 Route du Fort, 94205, Ivry-sur-Seine, France","2/8 Route du Fort, 94205, Ivry-sur-Seine, France",48.8042949,2.3890097,94205,France
Bureau de Recherches Géologiques et Minières,26679,2018-01-15,2018-01-01,research,national,https://www.brgm.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"BRGM, 3 avenue Claude-Guillemin - BP 36009, 45060 Orléans Cedex 2, France","3 Avenue Claude Guillemin, 45100, Orléans, France","3 Avenue Claude Guillemin, 45100, Orléans, France",47.8316045,1.9384755,45100,France
Archives de Nîmes,13682,2018-01-18,2018-01-01,archives,municipal,https://www.nimes.fr/mairie/archives-municipales.html,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Archives Municipales, 22 bis Rue Pradier, 30000, Nîmes, France","Archives Municipales, 22 bis Rue Pradier, 30000, Nîmes, France","22B Rue Pradier, 30000, Nîmes, France",43.8347875,4.3659311,30000,France
Archives municipales de Lille,74900,2018-01-25,2018-01-01,archives,municipal,https://archives.lille.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Hôtel de Ville, Place Augustin Laurent, BP 667, 59033 Lille Cedex, France","Place Augustin Laurent, 59033, Lille, France","Place Augustin Laurent, 59033, Lille, France",50.6311711,3.0707222,59033,France
Institut International de la Marionnette,61905,2018-01-26,2018-01-01,research,,https://www.artsdelamarionnette.eu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"7 Place Winston Churchill, 08000, Charleville-Mezieres, France","7 Place Winston Churchill, 08000, Charleville-Mezieres, France","7 Place Winston Churchill, 08000, Charleville-Mezieres, France",49.7724317,4.7218051,8000,France
Cité de la musique - Philharmonie de Paris,49250,2018-01-29,2018-01-01,research,municipal,https://philharmoniedeparis.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"221 avenue Jean-Jaurès, 75019, Paris, France","221 avenue Jean-Jaurès, 75019, Paris, France","221 avenue Jean-Jaurès, 75019, Paris, France",48.88989375,2.39406989358647,75019,France
Réunion des musées nationaux - Grand Palais,36255,2018-02-01,2018-02-01,museum,national,https://grandpalais.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"254/256 rue de Bercy, 75577 Paris CEDEX 12, France","3 Avenue du Général Eisenhower, 75008, Paris, France","3 Avenue du Général Eisenhower, 75008, Paris, France",48.8672677,2.3118891,75008,France
Agence France Presse,23258,2018-02-05,2018-02-01,media,national,https://www.afp.com,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"11-13 Place de la Bourse, 75002, Paris, France","11-13 Place de la Bourse, 75002, Paris, France","11-13 Place de la Bourse, 75002, Paris, France",48.868586,2.3417156,75002,France
Iowa State University,87292,2018-02-07,2018-02-01,university,,https://www.lib.iastate.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,EZID ARK only,True,Anonyme,Anonyme,contact@email.com,,,,"University Library 701 Morrill Rd., Ames, IA 50011-2101, USA","701 Morrill Rd., Ames, IA 50011, USA","701 Morrill Rd., Ames, IA 50011, USA",42.0280618,-93.6487203662716,,USA
Médiathèque François-Mitterrand Poitiers,10262,2018-02-08,2018-02-01,library,municipal,http://www.bm-poitiers.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"4 rue de l'Université, CS 70619, 86022, Poitiers, France","4 Rue de l'Université, 86000, Poitiers, France","4 Rue de l'Université, 86000, Poitiers, France",46.584167,0.342763748915817,86000,France
Archives municipales de Fontainebleau,71481,2018-02-12,2018-02-01,archives,municipal,http://archives.fontainebleau.fr/archive/recherche/generale,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Archives municipales de Fontainebleau, 40 rue Grande, 77300, Fontainebleau, France","Archives municipales de Fontainebleau, 40 rue Grande, 77300, Fontainebleau, France","40 rue Grande, 77300, Fontainebleau, France",48.4046672,2.70175391372298,77300,France
Humensis,58826,2018-02-19,2018-02-01,IT,,https://humensis.com,True,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"170 bis, boulevard du Montparnasse CS 20012, 75680, Paris cedex 14, France","170bis Boulevard du Montparnasse, 75014, Paris, France","170bis Boulevard du Montparnasse, 75014, Paris, France",48.8415344,2.3307428,75014,France
Ruhr Universität Bochum,45831,2018-02-26,2018-02-01,university,,https://www.ruhr-uni-bochum.de/de,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Universitätsstr. 150, 44801 Bochum, Germany","Universitätsstr. 150, 44801 Bochum, Germany","Universitätsstr. 150, 44801 Bochum, Germany",51.44415765,7.26096541306078,,Germany
Quantiply Corporation,32834,2018-03-03,2018-03-01,IT,,http://quantiply.com,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"333 West San Carlos Street, Suite 1650, San Jose, CA 95113, USA","333 W San Carlos St # 1650 San Jose, CA 95110, USA","333 W San Carlos Street, San Jose, CA 95110, USA",37.3294457,-121.8915831,,USA
Cahiers de la Haute-Loire,19838,2018-03-12,2018-03-01,publication,,https://www.cahiersdelahauteloire.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Les Cahiers de la Haute-Loire, Archives departementales, 31 av. de Tonbridge, 43000 Le Puy-en-Velay, France","4 Avenue de Meschede, 43000, Le Puy-en-Velay, France","4 Avenue de Meschede, 43000, Le Puy-en-Velay, France",45.041461,3.9005769,43000,France
"Unit Research - Research, Enterprises and Decision",68402,2018-03-12,2018-03-01,research,,http://www.ur-red.com/ang/index.php,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"GABES, TUNISIA","GABES, TUNISIA","GABES, TUNISIA",33.7765032,9.79306296557616,,Tunisia
Varepsilon Ltd,42410,2018-03-12,2018-03-01,IT,,http://varepsilon.com,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"34 Rishki Prohod, et. 8, ap. 35, Shumen, Bulgaria","bul. ""Rishki Prohod"" 34, ет. 8, ап. 35 9701 Dobrudzhanski, Shumen, Bulgaria","9701 Dobrudzhanski, Shumen, Bulgaria",43.2664959,26.9419583,,Bulgaria
Institut Mémoires de l'édition contemporaine,29414,2018-03-22,2018-03-01,research,,https://www.imec-archives.com,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Abbaye d'Ardenne, 14280, Saint Germain la Blanche Herbe, France","Abbaye d'Ardenne, 14280, Saint Germain la Blanche Herbe, France","Abbaye d'Ardenne, 14280, Saint Germain la Blanche Herbe, France",49.196339,-0.41329612839754,14280,France
La Fabrique de patrimoines en Normandie,16418,2018-03-26,2018-03-01,research,,https://www.lafabriquedepatrimoines.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"9 rue Vaubenard, 14000, Caen, France","9 rue Vaubenard, 14000, Caen, France","9 rue Vaubenard, 14000, Caen, France",49.1871356,-0.3471585,14000,France
Archives départementales du Lot,77978,2018-03-28,2018-03-01,archives,departemental,https://archives.lot.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"218 Rue des Cadourques, 46000, Cahors, France","218 Rue des Cadourques, 46000, Cahors, France","218 Rue des Cadourques, 46000, Cahors, France",44.4497738,1.4364685,46000,France
Global Politics Review,55407,2018-04-03,2018-04-01,publication,,https://www.globalpoliticsreview.com,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Via Palmieri 25, 10138, Torino, Italy","Via Palmieri 25, 10138, Torino, Italy","10138, Torino, Italy",45.0712663593145,7.65670167109403,,Italy
AJLSM,64983,2018-04-04,2018-04-01,IT,,http://ajlsm.com,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"17 Rue Vital Carles, 33000, Bordeaux, France","17 Rue Vital Carles, 33000, Bordeaux, France","17 Rue Vital Carles, 33000, Bordeaux, France",44.84034945,-0.578663671404833,33000,France
Archives municipales de Chalon-sur-Saône,38990,2018-04-11,2018-04-01,archives,municipal,http://archives.chalon.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Mairie de Chalon, CS 70092, 71321 Chalon-sur-Saône cedex, France","16 rue de la jonchère, 71880, Chatenoy-le-Royale, France","16 rue de la Jonchère, 71880, Chatenoy-le-Royal, France",46.7953124,4.8254593,71880,France
LBNL ETA Building Tech and Urban Systems,51986,2018-04-11,2018-04-01,research,,https://eta.lbl.gov,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"1 Cyclotron Road, MS 90R3029-B, Berkeley, CA 94720, USA","1 Cyclotron Road, Berkeley, CA 94720 MSn90R3111, USA","1 Cyclotron Road, Berkeley, CA 94720, USA",37.8749654,-122.2535322,,USA
UCD Online Strategies,87287,2018-04-14,2018-04-01,research,,https://library.ucdavis.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"Davis, California, USA","One Shields Avenue, Davis, CA 95616, USA","Davis, CA 95616, USA",38.5434297,-121.7377558,,USA
Archives Municipales de Landerneau,12999,2018-04-23,2018-04-01,archives,municipal,https://patrimoine.landerneau.bzh/fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"(Médiathèque Per Jakez Hélias) route de la Petite Palud, 29800, Landerneau, France","(Médiathèque Per Jakez Hélias) route de la Petite Palud, 29800, Landerneau, France","route Petite Palud, 29800, Landerneau, France",48.44912815,-4.25689233513803,29800,France
Explorateur de Métiers,25994,2018-04-23,2018-04-01,education,,https://www.explorateurdemetiers.tv/,True,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"12 rue Jacques Kable, 94130, Nogent-sur-marne, France","12 rue Jacques Kable, 94130, Nogent-sur-marne, France","12 rue Jacques Kable, 94130, Nogent-sur-marne, France",48.8356114,2.4912717,94130,France
Archives de Rennes,74559,2018-04-26,2018-04-01,archives,municipal,https://www.archives.rennes.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"18 avenue Jules-Ferry, 35700, Rennes, France","18 avenue Jules-Ferry, 35700, Rennes, France","18 avenue Jules-Ferry, 35700, Rennes, France",48.1196343,-1.6709987,35700,France
Dartmouth Virtual Basilica,81428,2018-05-01,2018-05-01,research,,https://rc.dartmouth.edu/index.php/virtual-basilica-project,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,EZID ARK only,True,Anonyme,Anonyme,contact@email.com,,,,"HB 6033 Dartmouth College, Hanover, NH 03755, USA","NH 03755, USA","Hanover, NH 03755, USA",43.703622,-72.288666,,USA
Dartmouth Thayer Instructional Labs,88736,2018-05-01,2018-05-01,research,,https://engineering.dartmouth.edu/undergraduate/labs,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,EZID ARK only,True,Anonyme,Anonyme,contact@email.com,,,,"14 Engineering Drive, Dartmouth College, Hanover, NH 03755, USA","14 Engineering Drive, Dartmouth College, Hanover, NH 03755, USA","14 Engineering Drive, Hanover, NH 03755, USA",43.7042595,-72.2948614062426,,USA
Bibliothèque Mazarine,61562,2018-05-02,2018-05-01,library,municipal,https://www.bibliotheque-mazarine.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"23 quai de Conti, 75006, Paris, France","23 quai de Conti, 75006, Paris, France","23 quai de Conti, 75006, Paris, France",48.8572708,2.3373594,75006,France
Pearltrees,48566,2018-05-03,2018-05-01,IT,,https://pearltrees.com,True,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"131 boulevard de Sebastopol, 75002, Paris, France","131 boulevard de Sebastopol, 75002, Paris, France","131 boulevard de Sebastopol, 75002, Paris, France",48.8684467,2.3526808,75002,France
Château de Versailles,35570,2018-05-14,2018-05-01,museum,national,https://chateauversailles.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"1 rue de l'indépendance américaine, 78000, Versailles, France","1 rue de l'indépendance américaine, 78000, Versailles, France","1 rue de l'indépendance américaine, 78000, Versailles, France",48.803184,2.1214633,78000,France
Archives départementales de la Creuse,22575,2018-05-23,2018-05-01,archives,departemental,https://archives.creuse.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,BP 164 23004 Guéret Cedex,"30 Rue Franklin Roosevelt, 23000, Guéret, France","30 Rue Franklin Roosevelt, 23000, Guéret, France",46.1714326,1.8796961,23000,France
Archives départementales du Val-de-Marne,71138,2018-05-31,2018-05-01,archives,departemental,http://archives.valdemarne.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"10, rue des Archives, 94054 Créteil Cedex, France","10 Rue des Archives, 94000, Créteil, France","10 Rue des Archives, 94000, Créteil, France",48.7835705,2.4551537,94000,France
Punctum Books,84135,2018-05-31,2018-05-01,library,,https://punctumbooks.com,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"962 West Campus Lane Goleta, California 93117, USA","962 West Campus Lane Goleta, California 93117, USA","Goleta, California 93117, USA",34.4377354,-119.8433729,,USA
Université Paris-Est Marne-la-Vallée,58142,2018-06-11,2018-06-01,university,,http://www.u-pem.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"5 Boulevard Descartes, 77420, Champs-sur-Marne, France","5 Boulevard Descartes, 77420, Champs-sur-Marne, France","5 Boulevard Descartes, 77420, Champs-sur-Marne, France",48.8391838,2.58751294722686,77420,France
Le Génie Editeur,45146,2018-06-13,2018-06-01,education,,https://www.le-genie.com/,True,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"38 avenue Jean Jaurès, 73000, Chambéry, France","38 avenue Jean Jaurès, 73000, Chambéry, France","38 avenue Jean Jaurès, 73000, Chambéry, France",45.5687676,5.9131886,73000,France
English Attack!,32151,2018-06-14,2018-06-01,education,,https://fr.english-attack.com/,True,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"75 rue de Lourmel, 75015, Paris, France","75 rue de Lourmel, 75015, Paris, France","75 rue de Lourmel, 75015, Paris, France",48.8455323,2.2879748,75015,France
Edumalin,19496,2018-06-25,2018-06-01,education,,https://www.edumalin.fr/home,True,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"101 Rue de Sèvres, 75007, Paris, France","101 Rue de Sèvres, 75007, Paris, France","101 Rue de Sèvres, 75007, Paris, France",48.8470106,2.3170122,75007,France
SpeakShake  ,67718,2018-06-25,2018-06-01,education,,http://www.speakshake.com,True,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"36 rue de l'Amiral Hamelin, 75116 Paris, France","36 rue de l'Amiral Hamelin, 75016 Paris, France","36 rue de l'Amiral Hamelin, 75016 Paris, France",48.86774,2.2920184,75016,France
Naturalis Biodiversity Center,54722,2018-06-27,2018-06-01,research,,https://naturalis.nl,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Vondellaan 55, 2332 AA Leiden, Netherlands","Vondellaan 55, 2332 AA Leiden, Netherlands","2332 AA Leiden, Netherlands",52.1615068,4.4616314,,Netherlands
Duke Visible Thinking,88737,2018-06-29,2018-06-01,research,,https://visiblethinking.duke.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"905 West Main Street, Suite 25B, Durham, NC 27701, USA","905 West Main Street, Suite 25B, Durham, NC 27701, USA","905 West Main Street, Durham, NC 27701, USA",36.0000834,-78.9097116,,USA
MatchWare,41727,2018-07-04,2018-07-01,IT,,https://matchware.com,True,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"311 South Brevard Ave., Tampa, FL 33606-2205, USA","311 South Brevard Ave., Tampa, FL 33606, USA","311 South Brevard Ave., Tampa, FL 33606, USA",27.9414945918367,-82.4668152244898,,USA
"Bodleian Libraries, University of Oxford",29072,2018-07-09,2018-07-01,library,,https://www.bodleian.ox.ac.uk,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Bodleian Libraries, Broad Street, Oxford OX1 3BG, UK","Broad Street, Oxford OX1 3BG, UK","Broad Street, Oxford OX1 3BG, UK",51.7546988,-1.2549091,,United Kingdom
Institut du Monde Arabe,16077,2018-07-10,2018-07-01,research,national,https://www.imarabe.org/fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"1, rue des Fossés Saint-Bernard, Paris cedex 05, France","1 Rue des Fossés Saint-Bernard, 75005, Paris, France","1 Rue des Fossés Saint-Bernard, 75005, Paris, France",48.84891635,2.3574932625,75005,France
Génération 5,77294,2018-07-16,2018-07-01,education,,https://www.generation5.fr,True,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"82 rue du Bon Pasteur, 73000, Chambéry, France","82 rue du Bon Pasteur, 73000, Chambéry, France","82 rue du Bon Pasteur, 73000, Chambéry, France",45.5700107,5.9160538,73000,France
Institut national de recherches archéologiques préventives,64298,2018-07-18,2018-07-01,research,national,https://inrap.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"121 rue d'Alésia CS 20007, 75685, Paris cedex 14, France","121 Rue d'Alésia, 75014, Paris, France","121 Rue d'Alésia, 75014, Paris, France",48.8290043,2.3231888,75014,France
UCI PECE project,81416,2018-07-18,2018-07-01,research,,https://worldpece.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"Dept. of Anthropology, 3151 Social Sciences Plaza, UC Irvine, Irvine, CA 92697, USA","3151 Social Sciences Plaza, Irvine, CA 92617, USA","Irvine, CA 92617, USA",33.6856969,-117.8259819,,USA
Delta Expert,51303,2018-07-25,2018-07-01,education,,https://delta-expert.com,True,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"20 rue Lavoisier, 95300, Pontoise, France","20 rue Lavoisier, 95300, Pontoise, France","20 rue Lavoisier, 95300, Pontoise, France",49.0432569,2.08077717790894,95300,France
Anaphore,25653,2018-08-13,2018-08-01,IT,,https://www.anaphore.eu,True,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"3 ter, chemin de la Fontaine, 13570, Barbentane, France","3 ter, chemin de la Fontaine, 13570, Barbentane, France","3T chemin de la Fontaine, 13570, Barbentane, France",43.89831,4.7446,13570,France
PRO-Economics,12656,2018-09-06,2018-09-01,research,,https://proeconomics.ru,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Mozhayskoye Shosse, 71, Odintsovo, Moscow Oblast, Russia, 143007","Mozhayskoye Shosse, 71, Odintsovo, Moscow Oblast, Russia, 143007","Odintsovo, Moscow Oblast, Russia",55.6711507,37.2727963,,Russia
UCSD Center for Computational Mass Spectrometry,80359,2018-09-06,2018-09-01,research,,https://massive.ucsd.edu/ProteoSAFe/static/massive.jsp,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"9500 Gilman Drive, EBU3B, La Jolla, CA 92093, USA","9500 Gilman Drive, EBU3B, La Jolla, CA 92093, USA","9500 Gilman Drive, La Jolla, CA 92093, USA",32.8777424,-117.2394425,,USA
Archives Nationales du Monde du Travail,60879,2018-09-11,2018-09-01,archives,national,https://archives-nationales-travail.culture.gouv.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"78 Boulevard du Général Leclerc, 59100, Roubaix, France","78 Boulevard du Général Leclerc, 59100, Roubaix, France","78 Boulevard du Général Leclerc, 59100, Roubaix, France",50.6877389,3.1748235,59100,France
PIX,48224,2018-09-11,2018-09-01,IT,,https://pix.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2018,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"156, Bd Haussmann, 75008, Paris, France","156, Bd Haussmann, 75008, Paris, France","156, Bd Haussmann, 75008, Paris, France",48.875264,2.3110709,75008,France
