who,what,when,when_yyyy_mm,Field,Area,where,how_nfp,how_nr,how_op,how_cc,how_year,how_policy,why,EZID,contact (surname),contact (firstname),contact (current only),Provider (surname),Provider (firstname),Provider (mail),address (postal),address (location),address (map),latitude,longitude,postcode,country
Bibliothèque Nationale du Royaume du Maroc,45830,2014-12-19,2014-12-01,library,,http://www.bnrm.ma/bnrm,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Avenue Ibn Khaldoun, Rabat, Morocco","Avenue Ibn Khaldoun, Rabat, Morocco","Avenue Ibn Khaldoun, Rabat, Morocco",34.0079683,-6.843771,,Morocco
Dartmouth College Library,83024,2014-12-19,2014-12-01,library,,https://library.dartmouth.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"6025 Baker Library, Hanover, NH 03755, USA","6025 College St, Hanover, NH 03755, USA","6025 College St, Hanover, NH 03755, USA",43.7079448,-72.2837441,,USA
"National University of Ireland, Galway",83025,2015-01-06,2015-01-01,university,,https://www.nuigalway.ie/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"University Road, Galway, Ireland","University Road, Galway, Ireland","University Road, Galway, Ireland",53.2765866,-9.06167,,Ireland
Berkeley Law Library,85779,2015-02-07,2015-02-01,library,,https://www.law.berkeley.edu/library.htm,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"101 Sproul Hall, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA",37.8702807,-122.2586263,,USA
"UCSB Climate Hazards Group, Dept of Geography",85788,2015-02-11,2015-02-01,research,,https://www.chc.ucsb.edu/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"552 University Rd, Santa Barbara, CA 93106, USA","552 University Rd, Santa Barbara, CA 93106, USA","552 University Rd, Santa Barbara, CA 93106, USA",34.4162606,-119.8464093,,USA
Drug Design Data Resource,85782,2015-02-18,2015-02-01,research,,https://drugdesigndata.org//,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA",32.8777424,-117.2394425,,USA
University of Wyoming Libraries,85786,2015-02-23,2015-02-01,university,,https://www.uwyo.edu/libraries/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"1000 E. University Ave. Laramie, WY 82071, USA","1000 E. University Ave. Laramie, WY 82071, USA","1000 E. University Ave. Laramie, WY 82071, USA",41.3126368,-105.5888271,,USA
Sprint Investify,16759,2015-03-03,2015-03-01,publication,,https://www.ExpertJournals.com,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Sibiu 557260, Romania","Strada Mihai Viteazul 17 Șelimbăr 557260, Roumania","Strada Mihai Viteazul 17 Șelimbăr 557260, Roumania",45.7762421,24.1734635,,Romania
Montana State University,75788,2015-03-04,2015-03-01,university,,https://www.montana.edu/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"Bozeman MT 59717, USA","Culbertson Hall, 100, Bozeman, MT 59717, USA","Culbertson Hall, 100, Bozeman, MT 59717, USA",45.6707898,-111.049689516283,,USA
Morphosource Project,87602,2015-03-26,2015-03-01,research,,https://morphosource.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"411 Chapel Drive, Durham, NC 27708, USA","411 Chapel Drive, Durham, NC 27708, USA","411 Chapel Drive, Durham, NC 27708, USA",35.998295,-78.9336597,,USA
Texas Advanced Computing Center,87603,2015-03-30,2015-03-01,research,,https://www.tacc.utexas.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"10100 Burnet Rd, (R8700) Austin, TX 78758, USA","10100 Burnet Rd, (R8700) Austin, TX 78758, USA","10100 Burnet Road, Austin, TX 78758, USA",30.3899405,-97.7261806879021,,USA
Chicago Collections Consortium,87607,2015-04-01,2015-04-01,archives,,https://chicagocollections.org/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"2350 N Kenmore Ave, 116-D, Chicago, IL 60614, USA","2350 N Kenmore Ave, 116-D, Chicago, IL 60614, USA","2350 N Kenmore Avenue, Chicago, IL 60614, USA",41.92501815,-87.655437020985,,USA
UTA Institute of Classical Archaeology,87610,2015-04-06,2015-04-01,research,,https://liberalarts.utexas.edu/ica/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"The College of Liberal Arts , The University of Texas at Austin , 116 Inner, Campus Dr Stop G6000, Austin, TX 78712, USA","116 Inner Campus Drive, Austin, TX 78712, USA","116 Inner Campus Drive, Austin, TX 78712, USA",30.2847889,-97.7379866,,USA
IEEE Publishing Technology,35911,2015-04-24,2015-04-01,research,,https://ieee.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"3 Park Avenue, 17th Floor, New York, N.Y. 10016-5997, USA","3 Park Avenue, 17th Floor, New York, N.Y. 10016-5997, USA","3 Park Avenue, 17th Floor, New York, N.Y. 10016-5997, USA",40.74647995,-73.9810004924273,,USA
The Silent Film Sound & Music Archive,22915,2015-04-28,2015-04-01,archives,,http://www.sfsma.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"2211 College View Dr., Redding, CA 96003, USA","2211 College View Dr., Redding, CA 96003, USA","2211 College View Dr., Redding, CA 96003, USA",40.6175752025988,-122.33149760453,,USA
UC San Diego Department of Biomedical Informatics,87908,2015-05-11,2015-05-01,research,,https://dbmi.ucsd.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA",32.8777424,-117.2394425,,USA
Российский Лингвистический Бюллетень (Russian Linguistic Bulletin),45487,2015-05-22,2015-05-01,research,,http://rulb.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Yekaterinburg, 620137, Russia","Yekaterinburg, 620137, Russia","Yekaterinburg, 620137, Russia",56.839104,60.60825,,Russia
Miami Project to Cure Paralysis,77913,2015-05-27,2015-05-01,research,,http://regenbase.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"1300 Memorial Drive, Coral Gables FL 33134, USA","1300 Memorial Dr, Coral Gables, FL 33146, USA","1300 Memorial Dr, Coral Gables, FL 33146, USA",25.72113385,-80.2787545339319,,USA
Ohio Supercomputer Center,19495,2015-06-01,2015-06-01,IT,,https://osc.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"1224 Kinnear Road, Columbus, Ohio 43212, USA","1224 Kinnear Road, Columbus, Ohio 43212, USA","1224 Kinnear Road, Columbus, Ohio 43212, USA",39.9999223,-83.0400560557101,,USA
Andrews University,68060,2015-06-25,2015-06-01,university,,https://resolver.caltech.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,True,Anonyme,Anonyme,contact@email.com,,,,"8753 University Blvd, Berrien Springs, MI 49104, USA","8975 Old 31, Berrien Springs, MI 49104, USA","Berrien Springs, MI 49103, USA",41.9464336,-86.3388965,,USA
Center for Nanotechnology in Society,87915,2015-06-26,2015-06-01,research,,https://www.andrews.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,EZID ARK,False,Anonyme,Anonyme,contact@email.com,,,,"552 University Rd, Santa Barbara, CA 93106, USA","552 University Rd, Santa Barbara, CA 93106, USA","552 University Rd, Santa Barbara, CA 93106, USA",34.4162606,-119.8464093,,USA
Universitatea de Vest din Timişoara,29071,2015-07-01,2015-07-01,university,,http://www.cns.ucsb.edu/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,True,Anonyme,Anonyme,contact@email.com,,,,"Bulevardul Vasile Pârvan 4, Timișoara, Romania","Bulevardul Vasile Pârvan 4 Timișoara 300222, Romania","Bulevardul Vasile Pârvan 4 Timișoara 300222, Romania",45.7471544,21.2315903,,Romania
Drexel University Libraries,87918,2015-07-13,2015-07-01,library,,https://www.uvt.ro,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,EZID ARK,False,Anonyme,Anonyme,contact@email.com,,,,"3300 Market St., Philadelphia PA 19104, USA","3141 Chestnut Street, Philadelphia, PA 19104, USA","3141 Chestnut Street, Philadelphia, PA 19104, USA",39.95411745,-75.1868492073772,,USA
Laboratory for Basic and Translational Cognitive Neuroscience,88115,2015-08-13,2015-08-01,research,,https://www.library.drexel.edu/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"267 Cousteau Place Davis, CA 95618, USA","267 Cousteau Place Davis, CA 95618, USA","267 Cousteau Place Davis, CA 95618, USA",38.5512493,-121.7106508,,USA
Geotechnical Extreme Events Reconnaissance,88118,2015-08-28,2015-08-01,research,,https://mindbrain.ucdavis.edu/research/research-labs-folder/translational-cognitive-neuroscience,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"101 Sproul Hall, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA",37.8702807,-122.2586263,,USA
Sanglap: Journal of Literary and Cultural Inquiry,16076,2015-08-28,2015-08-01,research,,http://geerassociation.org/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,True,Anonyme,Anonyme,contact@email.com,,,,"IIT Gandhinagar AB 4/333a, Gujarat, India","Buxa Feeder Road, Alipurduar, West Bengal 736121, India","Alipurduar, West Bengal 736121, India",26.4851573,89.5246926,,India
Facebase Consortium,88119,2015-09-08,2015-09-01,research,,http://sanglap-journal.in/index.php/sanglap,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,EZID ARK,False,Anonyme,Anonyme,contact@email.com,,,,"4674 Admiralty Way, Marina del Rey, CA 90292, USA","4674 Admiralty Way, Marina del Rey, CA 90292, USA","4674 Admiralty Way, Marina del Rey, CA 90292, USA",33.9842713,-118.4559248,,USA
USC ISI Informatics Systems Research Division,88120,2015-09-08,2015-09-01,research,,https://www.facebase.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"4674 Admiralty Way, Marina del Rey, CA 90292, USA","4674 Admiralty Way, Marina del Rey, CA 90292, USA","4674 Admiralty Way, Marina del Rey, CA 90292, USA",33.9842713,-118.4559248,,USA
Biblioteca Digitale Ligure,64639,2015-10-11,2015-10-01,library,,https://www.isi.edu/technology_groups/isrd/overview,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,True,Anonyme,Anonyme,contact@email.com,,,,"Via Fieschi 17 - piano U6, I-16121 Genova GE, Italy","Via Fieschi 17 - piano U6, I-16121 Genova GE, Italy","Via Fieschi 17, I-16121 Genova GE, Italy",44.5363669,8.9969004,,Italy
Institute for Research in Classical Philosophy and Science,51643,2015-11-17,2015-11-01,research,,https://bibliotecadigitale.regione.liguria.it/opacbdl/opac/bdl/index.jsp;jsessionid=1C4EEA2468CBEAE780032963752A4B9D,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"1077-3 Kerrimuir Road, Baysville, ON P0B 1A0, CANADA","1077 Kerrimuir Rd #3Baysville, ON P0B 1A0, Canada","Baysville, ON, Canada",45.1497562,-79.1151352,,Canada
Société archéologique de Namur,12998,2015-11-20,2015-11-01,research,,https://www.ircps.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Rue de Fer 35, 5000 Namur, Belgium","Rue de Fer 35, 5000 Namur, Belgium","Rue de Fer 35, 5000 Namur, Belgium",50.4650169,4.865032,,Belgium
"United Nations Educational, Scientific and Cultural Organization",48223,2015-12-03,2015-12-01,association,,https://www.lasan.be,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"UNESCO, New Delhi, Delhi 110029, India","1, San Martin Marg, Chanakyapuri, New Delhi, Delhi 110021, India","1, San Martin Marg, New Delhi, Delhi 110021, India",28.5956027,77.1779019,,India
Energy Analysis and Environmental Impacts,88431,2015-12-05,2015-12-01,research,,https://en.unesco.org/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,EZID ARK,False,Anonyme,Anonyme,contact@email.com,,,,"101 Sproul Hall, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA",37.8702807,-122.2586263,,USA
Southern California Ocean Observing System,88436,2015-12-09,2015-12-01,research,,https://energyanalysis.lbl.gov/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"University of California, San Diego, Scripps Institution of Oceanography, 8880 Biological Grade, MESOM Bldg - rms 155 and 157, La Jolla, CA 92037, USA","9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA",32.8777424,-117.2394425,,USA
Coastal Data Information Program,88437,2015-12-09,2015-12-01,research,,https://sccoos.org/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA",32.8777424,-117.2394425,,USA
Bibliothèque nationale du Luxembourg,70795,2016-01-09,2016-01-01,library,,http://cdip.ucsd.edu/,False,NR,OP,CC,2016,https://info.persist.lu/en/arks-at-the-bnl/,ARK,True,Anonyme,Anonyme,contact@email.com,,,,"37 bd F-D Roosevelt, 2450 Luxemburg, Luxembourg","37 Boulevard Franklin Delano Roosevelt, 1536 Luxemburg, Luxemburg","boulevard Roosevelt, Luxembourg",49.6083791,6.1322883,,Luxemburg
Joint Center for Artificial Photosynthesis in Chemical Sciences Division,88734,2016-01-19,2016-01-01,research,,https://persist.lu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,EZID ARK,False,Anonyme,Anonyme,contact@email.com,,,,"1200 E. California Blvd. Pasadena, CA 91125-3200, USA","1200 E. California Blvd. Pasadena, CA 91125-3200, USA","1200 E. California Blvd. Pasadena, CA 91125-3200, USA",34.1359033,-118.1243083,,USA
bioCADDIE,57799,2016-01-20,2016-01-01,research,,https://solarfuelshub.org/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,EZID ARK only,True,Anonyme,Anonyme,contact@email.com,,,,"500 Gilman Drive, La Jolla, CA 92092-0608, USA","500 Gilman Dr San Diego, CA 92161, USA","500 Gilman Dr San Diego, CA 92161, USA",32.8727386,-117.2379187,,USA
Durham University Library,32150,2016-02-16,2016-02-01,library,,https://biocaddie.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,ARK,True,Anonyme,Anonyme,contact@email.com,,,,"Palace Green, Durham DH1 3RN, United Kingdom","Palace Green, Durham DH1 3RN, United Kingdom","Palace Green, Durham DH1 3RN, United Kingdom",54.7742174,-1.5762807,,United Kingdom
Durham Cathedral Library,19154,2016-02-16,2016-02-01,library,,http://n2t.durham.ac.uk,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"The College, Durham DH1 3EH, United Kingdom","5 The College, Library (Heritage Collections), Durham DH1 3EH, United Kingdom","5 The College, Durham DH1 3EH, United Kingdom",54.7725652,-1.5771857,,United Kingdom
Ushaw College Library,80371,2016-02-16,2016-02-01,library,,http://n2t.durham.ac.uk,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Stockton Road, Durham, DH1 3LE, UK","Woodland Rd, Durham DH7 9RH, United Kingdom","Woodland Road, Durham DH7 9RH, United Kingdom",54.7831461,-1.6433867,,United Kingdom
UCLA Civil and Environmental Engineering,80352,2016-03-11,2016-03-01,research,,http://n2t.durham.ac.uk,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,EZID ARK,False,Anonyme,Anonyme,contact@email.com,,,,"420 Westwood Plaza 5731 Boelter Hall Los Angeles, CA 90095 USA","580 Portola Plaza, Los Angeles, CA 90095, USA","580 Portola Plaza, Los Angeles, CA 90095, USA",34.069187,-118.443139,,USA
UC Observatories,80353,2016-03-16,2016-03-01,research,,https://www.cee.ucla.edu/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"1156 High Street, Santa Cruz, CA 95064, USA","1156 High Street, Santa Cruz, CA 95064, USA","1156 High Street, Santa Cruz, CA 95064, USA",36.9773836423961,-122.054935671938,,USA
Berkeley Linguistics Society,80354,2016-03-18,2016-03-01,research,,https://www.ucobservatories.org/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"101 Sproul Hall, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA",37.8702807,-122.2586263,,USA
LBNL Climate & Ecosystems Science Division,80358,2016-03-30,2016-03-01,research,,http://linguistics.berkeley.edu/bls/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"101 Sproul Hall, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA",37.8702807,-122.2586263,,USA
College of William & Mary Libraries,81220,2016-04-07,2016-04-01,library,,https://esd.lbl.gov/our-divisions/climate-ecosystem-sciences,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"Earl Gregg Swem Library William & Mary 400 Landrum Drive Williamsburg, VA 23186","400 Landrum Dr, Williamsburg, VA 23186, USA","400 Landrum Dr, Williamsburg, VA 23186, USA",37.269246,-76.717499,,USA
Programa de Pós-Graduação em Design - Universidade Federal do Rio Grande do Sul,28730,2016-04-20,2016-04-01,research,,https://swem.wm.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,ARK,True,Anonyme,Anonyme,contact@email.com,,,,"Avenida Oswaldo Aranha, nº99 6º andar - sala 607 CEP 90035-190 Porto Alegre - RS Brazil","Av. Osvaldo Aranha, 99 - Centro Histórico Porto Alegre - RS, 90035-190, Brazil","Av. Osvaldo Aranha, 99 - Centro Histórico Porto Alegre - RS, 90035-190, Brazil",-30.0320827,-51.2210423,,Brazil
Southern Philippines Medical Center,76951,2016-04-21,2016-04-01,research,,http://www.pgdesign.ufrgs.br,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"J.P. Laurel Avenue, Bajada, Davao City, Philippines 8000","J.P. Laurel Avenue, Bajada, Davao City, Philippines 8000","J.P. Laurel Avenue, Bajada, Davao City, Philippines 8000",7.0989377,125.6194836,,Philippines
Archives de Monaco,63956,2016-04-26,2016-04-01,archives,,http://ark.spmcpapers.com,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"98015, Monaco","Place de la Mairie, 98000 Monaco","Place de la Mairie, 98000 Monaco",43.7309896,7.4235441,,Monaco
UC San Diego Philosophy Dept.,81224,2016-05-06,2016-05-01,research,,https://archives.mairie.mc,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,EZID ARK,False,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"9500 Gilman Drive #0119 La Jolla CA 92023, USA","9500 Gilman Dr. La Jolla, CA 92093, USA","9500 Gilman Dr. La Jolla, CA 92093, USA",32.8777424,-117.2394425,,USA
UCSD Metabolomics Workbench,81228,2016-05-16,2016-05-01,research,,https://philosophy.ucsd.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"9500 Gilman Drive #435 La Jolla, CA 92093, USA","9500 Gilman Dr. La Jolla, CA 92093, USA","9500 Gilman Dr. La Jolla, CA 92093, USA",32.8777424,-117.2394425,,USA
UCSB ECE Dept Mostofi Lab,81229,2016-05-18,2016-05-01,research,,https://www.metabolomicsworkbench.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"Harold Frank Hall 4155 Dept of ECE UCSB Santa Barbara, CA 93106, USA","Harold Frank Hall, Santa Barbara, CA 93106, USA","Harold Frank Hall, Santa Barbara, CA 93106, USA",34.413817,-119.8414464,,USA
Woodbury University School of Architecture,25309,2016-05-25,2016-05-01,university,,https://web.ece.ucsb.edu/~ymostofi/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,ARK,True,Anonyme,Anonyme,contact@email.com,,,,"7500 N Glenoaks Blvd, Burbank, CA 91504, USA","7500 N Glenoaks Blvd, Burbank, CA 91504, USA","7500 N Glenoaks Blvd, Burbank, CA 91504, USA",34.2051055,-118.3381022,,USA
UCSD Scripps Spray Plotting,81238,2016-06-07,2016-06-01,research,,https://woodbury.edu/program/school-of-architecture/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,EZID ARK,False,Anonyme,Anonyme,contact@email.com,,,,"9500 Gilman Dr #0230, La Jolla, CA 92093-0230, USA","9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA",32.8777424,-117.2394425,,USA
Marine and Coastal Research Institute of Columbia,81239,2016-06-14,2016-06-01,research,,http://spray.ucsd.edu/pub/rel/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"Calle 25 No. 2-55, Playa Salguero,Santa Marta D.T.C.H., Colombia","Calle 25, Playa Salguero, Santa Marta, Colombia","Calle 25, Playa Salguero, Santa Marta, Colombia",11.18787985,-74.2338029426683,,Colombia
UCB Geotechnical Engineering Research,81418,2016-07-09,2016-07-01,research,,http://www.invemar.org.co,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"Davis Hall, UC Berkeley, Berkeley CA 94720, USA","Davis Hall, Berkeley CA 94720, USA","Davis Hall, Berkeley CA 94720, USA",37.8745161,-122.258276855057,,USA
Remix the Manuscript,44461,2016-08-06,2016-08-01,archives,,https://www.ce.berkeley.edu/programs/geo,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,EZID ARK only,True,Anonyme,Anonyme,contact@email.com,,,,"210A Reed Hall Hanover, NH 03755, USA","Hanover, NH 03755, USA","Hanover, NH 03755, USA",43.703622,-72.288666,,USA
"UCSD Scripps Project IDA, Inst. for Geophysics and Planetary Physics",81422,2016-08-10,2016-08-01,research,,https://sites.dartmouth.edu/RemixBrut,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"9500 Gilman Drive #0225, La Jolla, CA 92023-0225, USA","9500 Gilman Dr #0225 San Diego, CA 92161, USA","9500 Gilman Dr #0225 San Diego, CA 92161, USA",32.87935255,-117.231100493855,,USA
Texas A&M University Libraries,81423,2016-08-22,2016-08-01,library,,https://ida.ucsd.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"Sterling C. Evans Library 5000 TAMU College Station, TX 77843-5000, USA","400 Spence St, College Station, TX 77843, USA","400 Spence St, College Station, TX 77843, USA",30.6202141,-96.3404038,,USA
Earth Research Institute,81424,2016-08-24,2016-08-01,research,,https://library.tamu.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"UC Santa Barbara, Santa Barbara, CA 93106-3060, USA","UC Santa Barbara, Santa Barbara, CA 93106-3060, USA","Santa Barbara, CA 93106-3060, USA",34.4221319,-119.7026673,,USA
Journal of Mechanical Engineering and Biomechanics,80030,2016-09-07,2016-09-01,research,,https://www.eri.ucsb.edu,True,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,ARK,True,Anonyme,Anonyme,contact@email.com,,,,"43 Chandi Ki Taksal, Jaipur, India","3 Chandi Ki Taksal 302002, Jaipur, Rajasthan, India","3 Chandi Ki Taksal 302002, Jaipur, Rajasthan, India",26.9283191,75.8282641,,India
University of Pennsylvania Libraries,81431,2016-09-15,2016-09-01,library,,http://jmeb.in,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,EZID ARK,False,Anonyme,Anonyme,contact@email.com,,,,"3420 Walnut St Philadelphia, PA 19104-6206, USA","3420 Walnut St Philadelphia, PA 19104, USA","3420 Walnut St Philadelphia, PA 19104, USA",39.95271395,-75.1939327992977,,USA
University of Michigan Medical School DLHS-DLKS,67034,2016-09-22,2016-09-01,university,,https://www.library.upenn.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,EZID ARK only,True,Anonyme,Anonyme,contact@email.com,,,,"300 North Ingalls Street, 11th Floor, Suite 1161, Ann Arbor, MI 48109, USA","300 North Ingalls Street, 11th Floor, Suite 1161, Ann Arbor, MI 48109, USA","300 North Ingalls Street, MI 48109, USA",42.28348505,-83.7378144375179,,USA
University of Arizona Libraries,15050,2016-10-07,2016-10-01,library,,https://medicine.umich.edu/dept/learning-health-sciences,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,ARK,True,Anonyme,Anonyme,contact@email.com,,,,"1510 E University Blvd, Tucson, AZ 85719, USA","1510 E. University Blvd. Tucson, AZ 85721, USA","1510 E. University Blvd. Tucson, AZ 85721, USA",32.23104675,-110.9494054,,USA
